# best fit parameters for the modified blackbody fit 
# beta, +error, -error 
# temperature, +error, -error
1.834679806910683553e+00 1.067303800605934327e-05 2.390425635212523048e-10
2.317695364711308059e+01 2.743641758229387051e-08 2.709177077289126601e-03
