# wavelength (micron) 	 BB (W/m2) 	 F-F flux (W/m2) 	 Synchrotron (W/m2) 	 BB+FF+Sync (W/m2)
5.000000000000000000e+01 2.469391309649103546e-14 3.510830656435186504e-17 9.614518753458356239e-19 2.472998285493073155e-14
6.000000000000000000e+01 6.749552722658066207e-14 2.979523125226200985e-17 9.270246911677232116e-19 6.752624948252409339e-14
7.000000000000000000e+01 1.203971857902423257e-13 2.593550148313178769e-17 8.988804682210430910e-19 1.204240201721936833e-13
8.000000000000000000e+01 1.674196613561973425e-13 2.299862635402323432e-17 8.751924335934607509e-19 1.674435351749849668e-13
9.000000000000000000e+01 1.995480213618604326e-13 2.068543352911685672e-17 8.548168018646629270e-19 1.995695616121914023e-13
1.000000000000000000e+02 2.153080470686238284e-13 1.881407564513053513e-17 8.369924716644321921e-19 2.153276981367406195e-13
1.100000000000000000e+02 2.174222791518025072e-13 1.726750017992430891e-17 8.211887947336156611e-19 2.174403678407771629e-13
1.200000000000000000e+02 2.098894813531754644e-13 1.596686908315321390e-17 8.070218670854768198e-19 2.099062552441257023e-13
1.300000000000000000e+02 1.964253041165586435e-13 1.485709391954662537e-17 7.942054835181688613e-19 1.964409554159617156e-13
1.400000000000000000e+02 1.799065868084717692e-13 1.389849111359565932e-17 7.825208979457128920e-19 1.799212678204833325e-13
1.500000000000000000e+02 1.623304708744532269e-13 1.306173151918658829e-17 7.717973799724188338e-19 1.623443044033523816e-13
1.600000000000000000e+02 1.449698227019496193e-13 1.232465870051496197e-17 7.618992660572930444e-19 1.449829092599161925e-13
1.700000000000000000e+02 1.285668927546311886e-13 1.167021498637350496e-17 7.527170742665070311e-19 1.285793156866918280e-13
1.800000000000000000e+02 1.135027387750286348e-13 1.108504935878295296e-17 7.441612483782735799e-19 1.135145679856357880e-13
1.900000000000000000e+02 9.992618070792261810e-14 1.055855885256086624e-17 7.361576534055378249e-19 9.993747542442858134e-14
2.000000000000000000e+02 8.784473085085166658e-14 1.008221349930064759e-17 7.286442676820867383e-19 8.785554170861864799e-14
2.100000000000000000e+02 7.718554731401800838e-14 9.649071411838028237e-18 7.215687108955275603e-19 7.719591795414074339e-14
2.200000000000000000e+02 6.783470597834519832e-14 9.253424228591770757e-18 7.148863678278143085e-19 6.784467428894160788e-14
2.300000000000000000e+02 5.966157932963745172e-14 8.890533718789892990e-18 7.085589441992498073e-19 5.967117842230044356e-14
2.400000000000000000e+02 5.253334284714051853e-14 8.556433281557404952e-18 7.025533409835517850e-19 5.254260183376305855e-14
2.500000000000000000e+02 4.632311922878229555e-14 8.247776390045829177e-18 6.968407668554444591e-19 4.633206384593919870e-14
2.600000000000000000e+02 4.091412848434909820e-14 7.961719496689698022e-18 6.913960310496125721e-19 4.092278159987683203e-14
2.700000000000000000e+02 3.620140120741585408e-14 7.695830575595084587e-18 6.861969745477251754e-19 3.620978323496599997e-14
2.800000000000000000e+02 3.209205844924470568e-14 7.448016972424160796e-18 6.812240084976292353e-19 3.210018769022562635e-14
2.900000000000000000e+02 2.850479265447571139e-14 7.216467959576370114e-18 6.764597366031831848e-19 2.851268558217189408e-14
3.000000000000000000e+02 2.536894282867580811e-14 6.999608608519023919e-18 6.718886438854619298e-19 2.537661432592821279e-14
3.100000000000000000e+02 2.262340165460475196e-14 6.796062456023305830e-18 6.674968383598278943e-19 2.263086521389913528e-14
3.200000000000000000e+02 2.021549349193863200e-14 6.604621065014486924e-18 6.632718352410800079e-19 2.022276138483888484e-14
3.300000000000000000e+02 1.809990032912531780e-14 6.424219036149379225e-18 6.592023755844640994e-19 1.810698375053705014e-14
3.400000000000000000e+02 1.623767467480574318e-14 6.253913362244235217e-18 6.552782730053182324e-19 1.624458386644099277e-14
3.500000000000000000e+02 1.459535546516487963e-14 6.092866268114800994e-18 6.514902834436970277e-19 1.460209982171644103e-14
3.600000000000000000e+02 1.314418972622856444e-14 5.940330866824261020e-18 6.478299939588530400e-19 1.315077788708934767e-14
3.700000000000000000e+02 1.185945535991135065e-14 5.795639106378279437e-18 6.442897273286694374e-19 1.186589528874505784e-14
3.800000000000000000e+02 1.071987671250413241e-14 5.658191590401194817e-18 6.408624598469439149e-19 1.072617576655437967e-14
3.900000000000000000e+02 9.707123069890120441e-15 5.527448940801401997e-18 6.375417501979140611e-19 9.713288060581119182e-15
4.000000000000000000e+02 8.805379983976929760e-15 5.402924436087806353e-18 6.343216776731324250e-19 8.811417230090690226e-15
4.100000000000000000e+02 8.000983796852355260e-15 5.284177710383265565e-18 6.311967883035759429e-19 8.006899171351042783e-15
4.200000000000000000e+02 7.282110542345555052e-15 5.170809338662800374e-18 6.281620477269596402e-19 7.287909513731945359e-15
4.300000000000000000e+02 6.638511359022272009e-15 5.062456165837351392e-18 6.252127998097355552e-19 6.644199027987919094e-15
4.400000000000000000e+02 6.061287522560051623e-15 4.958787262897515088e-18 6.223447302052239178e-19 6.066868654553154630e-15
4.500000000000000000e+02 5.542699132227496358e-15 4.859500413857741898e-18 6.195538341615135735e-19 5.548178186475515898e-15
4.600000000000000000e+02 5.076002332698752342e-15 4.764319053791554716e-18 6.168363880011638305e-19 5.081383488140545106e-15
4.700000000000000000e+02 4.655310705612751829e-15 4.672989591661146902e-18 6.141889237840734018e-19 4.660597884128197103e-15
4.800000000000000000e+02 4.275477123681562897e-15 4.585279062567778568e-18 6.116082067388049817e-19 4.280674010950869532e-15
4.900000000000000000e+02 3.931992928644189185e-15 4.500973062986363491e-18 6.090912151091130256e-19 3.937102992922285005e-15
