# ra (deg) 	dec (deg) 	separation (pc) 	age (yr) 	mass (solar masses) 	E(B-V)
2.416856999999999900e+01 1.579941999999999958e+01 1.133452886875792274e+03 5.000000000000000000e+06 1.708000000000000000e+03 4.299999999999999933e-01
2.416856999999999900e+01 1.579941999999999958e+01 1.133452886875792274e+03 5.000000000000000000e+06 1.708000000000000000e+03 4.299999999999999933e-01
2.416636000000000095e+01 1.579940000000000033e+01 1.173797208448762149e+03 5.000000000000000000e+07 6.164000000000000000e+03 1.000000000000000056e-01
2.416636000000000095e+01 1.579940000000000033e+01 1.173797208448762149e+03 5.000000000000000000e+07 6.164000000000000000e+03 1.000000000000000056e-01
2.416347999999999985e+01 1.579912000000000027e+01 1.190238565253610886e+03 5.000000000000000000e+07 1.055000000000000000e+04 2.000000000000000111e-01
2.416357999999999961e+01 1.579923999999999928e+01 1.209824511360595807e+03 1.000000000000000000e+06 6.884000000000000000e+03 1.000000000000000056e-01
2.416360999999999848e+01 1.579918999999999940e+01 1.200776733558149999e+03 2.000000000000000000e+06 9.600000000000000000e+03 3.300000000000000155e-01
2.416955000000000098e+01 1.579931999999999981e+01 1.135292183579200582e+03 4.000000000000000000e+07 4.324000000000000000e+03 7.000000000000000666e-02
2.416955000000000098e+01 1.579931999999999981e+01 1.135292183579200582e+03 4.000000000000000000e+07 4.324000000000000000e+03 7.000000000000000666e-02
2.416955000000000098e+01 1.579931999999999981e+01 1.195465239774456222e+03 4.000000000000000000e+07 4.324000000000000000e+03 7.000000000000000666e-02
2.416284999999999883e+01 1.579898999999999987e+01 1.181489966549177325e+03 2.000000000000000000e+08 2.938000000000000000e+04 5.999999999999999778e-02
2.416561000000000092e+01 1.579901000000000089e+01 1.151362320124767166e+03 6.000000000000000000e+06 1.125000000000000000e+03 3.900000000000000133e-01
2.416561000000000092e+01 1.579901000000000089e+01 1.151362320124767166e+03 6.000000000000000000e+06 1.125000000000000000e+03 3.900000000000000133e-01
2.416561000000000092e+01 1.579901000000000089e+01 1.194675503385691400e+03 6.000000000000000000e+06 1.125000000000000000e+03 3.900000000000000133e-01
2.416561000000000092e+01 1.579901000000000089e+01 1.183928081335106299e+03 6.000000000000000000e+06 1.125000000000000000e+03 3.900000000000000133e-01
2.416561000000000092e+01 1.579901000000000089e+01 1.183928081335106299e+03 6.000000000000000000e+06 1.125000000000000000e+03 3.900000000000000133e-01
2.417361999999999966e+01 1.579884999999999984e+01 1.073298747596744761e+03 2.000000000000000000e+08 1.344000000000000000e+04 2.099999999999999922e-01
2.416938000000000031e+01 1.579873000000000083e+01 1.028817233619512535e+03 5.000000000000000000e+06 6.907999999999999545e+02 8.000000000000000167e-02
2.416938000000000031e+01 1.579873000000000083e+01 1.028817233619512535e+03 5.000000000000000000e+06 6.907999999999999545e+02 8.000000000000000167e-02
2.416938000000000031e+01 1.579873000000000083e+01 1.094664002108639352e+03 5.000000000000000000e+06 6.907999999999999545e+02 8.000000000000000167e-02
2.416614999999999824e+01 1.579879999999999995e+01 1.084556737749559488e+03 5.000000000000000000e+07 3.301000000000000000e+03 1.700000000000000122e-01
2.416614999999999824e+01 1.579879999999999995e+01 1.084556737749559488e+03 5.000000000000000000e+07 3.301000000000000000e+03 1.700000000000000122e-01
2.416614999999999824e+01 1.579879999999999995e+01 1.182313382896949634e+03 5.000000000000000000e+07 3.301000000000000000e+03 1.700000000000000122e-01
2.416614999999999824e+01 1.579879999999999995e+01 1.157804768094354813e+03 5.000000000000000000e+07 3.301000000000000000e+03 1.700000000000000122e-01
2.416614999999999824e+01 1.579879999999999995e+01 1.157804768094354813e+03 5.000000000000000000e+07 3.301000000000000000e+03 1.700000000000000122e-01
2.416948999999999970e+01 1.579852999999999952e+01 9.981153974916660445e+02 1.000000000000000000e+06 5.836000000000000000e+03 3.699999999999999956e-01
2.416948999999999970e+01 1.579852999999999952e+01 9.981153974916660445e+02 1.000000000000000000e+06 5.836000000000000000e+03 3.699999999999999956e-01
2.416948999999999970e+01 1.579852999999999952e+01 1.058448363249562817e+03 1.000000000000000000e+06 5.836000000000000000e+03 3.699999999999999956e-01
2.416555999999999926e+01 1.579853999999999914e+01 1.079774983228705878e+03 8.000000000000000000e+06 1.409000000000000000e+03 4.299999999999999933e-01
2.416555999999999926e+01 1.579853999999999914e+01 1.079774983228705878e+03 8.000000000000000000e+06 1.409000000000000000e+03 4.299999999999999933e-01
2.416555999999999926e+01 1.579853999999999914e+01 1.112797459290196684e+03 8.000000000000000000e+06 1.409000000000000000e+03 4.299999999999999933e-01
2.416555999999999926e+01 1.579853999999999914e+01 1.101504490753230812e+03 8.000000000000000000e+06 1.409000000000000000e+03 4.299999999999999933e-01
2.416555999999999926e+01 1.579853999999999914e+01 1.101504490753230812e+03 8.000000000000000000e+06 1.409000000000000000e+03 4.299999999999999933e-01
2.415997000000000128e+01 1.579846000000000039e+01 1.135895332057271389e+03 1.000000000000000000e+06 1.030000000000000000e+03 4.000000000000000083e-02
2.415997000000000128e+01 1.579846000000000039e+01 1.135895332057271389e+03 1.000000000000000000e+06 1.030000000000000000e+03 4.000000000000000083e-02
2.416723999999999961e+01 1.579836000000000062e+01 9.631788045386440444e+02 9.000000000000000000e+06 3.085000000000000000e+03 3.400000000000000244e-01
2.416723999999999961e+01 1.579836000000000062e+01 9.631788045386440444e+02 9.000000000000000000e+06 3.085000000000000000e+03 3.400000000000000244e-01
2.416723999999999961e+01 1.579836000000000062e+01 1.179371314200533561e+03 9.000000000000000000e+06 3.085000000000000000e+03 3.400000000000000244e-01
